epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,44.928,1.13358,2.65607,0.01874,0.66187,0.66667,0.807,0.65918,1.62267,1.19399,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,45.893,1.15956,2.63001,0.01623,0.66187,0.66667,0.807,0.65918,1.62267,1.19399,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,46.9585,1.00646,1.74751,0.01324,0.70383,0.66667,0.80519,0.65687,1.63377,1.19028,0.01083,2.87504e-05,2.87504e-05,2.87504e-05
42,47.8921,1.1223,1.65539,0.01731,0.70383,0.66667,0.80519,0.65687,1.63377,1.19028,0.01083,2.89861e-05,2.89861e-05,2.89861e-05
43,49.007,0.48777,2.9432,0.00936,0.68646,0.67241,0.80593,0.65774,1.63133,1.23331,0.01071,2.91983e-05,2.91983e-05,2.91983e-05
44,49.9897,1.03448,1.41085,0.01558,0.68646,0.67241,0.80593,0.65774,1.63133,1.23331,0.01071,2.93869e-05,2.93869e-05,2.93869e-05
45,50.986,0.65358,1.56423,0.01074,0.68343,0.67254,0.80605,0.65047,1.63104,1.27674,0.01063,2.9552e-05,2.9552e-05,2.9552e-05
46,51.8903,1.31337,1.8098,0.02224,0.68343,0.67254,0.80605,0.65047,1.63104,1.27674,0.01063,2.96935e-05,2.96935e-05,2.96935e-05
47,52.8631,1.01938,1.22024,0.01107,0.69097,0.67502,0.79689,0.64375,1.6484,1.2807,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,53.8809,1.02092,1.36362,0.01355,0.69097,0.67502,0.79689,0.64375,1.6484,1.2807,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,54.9137,1.18217,1.65673,0.01445,0.6808,0.6791,0.80738,0.62837,1.66774,1.24214,0.01181,2.99766e-05,2.99766e-05,2.99766e-05
50,55.8946,1.0877,1.08665,0.01332,0.6808,0.6791,0.80738,0.62837,1.66774,1.24214,0.01181,3.00238e-05,3.00238e-05,3.00238e-05
51,56.9925,0.92687,1.26772,0.0105,0.68543,0.66393,0.80373,0.62244,1.68991,1.2783,0.01232,3.00475e-05,3.00475e-05,3.00475e-05
52,57.9314,1.0743,1.04724,0.00953,0.68543,0.66393,0.80373,0.62244,1.68991,1.2783,0.01232,3.00476e-05,3.00476e-05,3.00476e-05
53,58.8802,0.79354,1.27528,0.01233,0.68543,0.66393,0.80373,0.62244,1.68991,1.2783,0.01232,3.00242e-05,3.00242e-05,3.00242e-05
54,59.8716,1.07837,1.82542,0.0183,0.78632,0.66047,0.87395,0.67226,1.70623,1.23003,0.01252,2.99772e-05,2.99772e-05,2.99772e-05
55,60.8627,1.05277,1.3359,0.01087,0.78632,0.66047,0.87395,0.67226,1.70623,1.23003,0.01252,2.99066e-05,2.99066e-05,2.99066e-05
56,61.769,0.83493,1.61192,0.00837,0.78632,0.66047,0.87395,0.67226,1.70623,1.23003,0.01252,2.98125e-05,2.98125e-05,2.98125e-05
57,62.8277,0.81707,1.07681,0.00979,0.87632,0.65161,0.87261,0.67161,1.70313,1.23005,0.01239,2.96948e-05,2.96948e-05,2.96948e-05
58,63.7948,0.81974,1.08451,0.00766,0.87632,0.65161,0.87261,0.67161,1.70313,1.23005,0.01239,2.95535e-05,2.95535e-05,2.95535e-05
59,64.6848,0.9978,1.69211,0.01439,0.87632,0.65161,0.87261,0.67161,1.70313,1.23005,0.01239,2.93887e-05,2.93887e-05,2.93887e-05
60,65.7834,1.09686,1.90695,0.01794,0.66694,0.6702,0.87464,0.65552,1.69114,1.29208,0.01295,2.92003e-05,2.92003e-05,2.92003e-05
61,66.7691,0.70725,1.10714,0.00767,0.66694,0.6702,0.87464,0.65552,1.69114,1.29208,0.01295,2.89884e-05,2.89884e-05,2.89884e-05
62,67.7387,0.89298,0.98827,0.01536,0.66694,0.6702,0.87464,0.65552,1.69114,1.29208,0.01295,2.87529e-05,2.87529e-05,2.87529e-05
63,68.6787,1.35247,3.09597,0.02752,0.61168,0.66775,0.79162,0.58187,1.70316,1.33671,0.01314,2.84938e-05,2.84938e-05,2.84938e-05
64,69.735,0.86953,1.26004,0.00802,0.61168,0.66775,0.79162,0.58187,1.70316,1.33671,0.01314,2.82112e-05,2.82112e-05,2.82112e-05
65,70.6021,1.05298,1.12755,0.01146,0.61168,0.66775,0.79162,0.58187,1.70316,1.33671,0.01314,2.7905e-05,2.7905e-05,2.7905e-05
66,71.5432,0.76164,0.84419,0.01289,0.61848,0.66214,0.78889,0.57189,1.73405,1.34352,0.01351,2.75753e-05,2.75753e-05,2.75753e-05
67,72.4716,0.88041,0.69356,0.00813,0.61848,0.66214,0.78889,0.57189,1.73405,1.34352,0.01351,2.7222e-05,2.7222e-05,2.7222e-05
68,73.4264,1.12977,1.47201,0.01315,0.61848,0.66214,0.78889,0.57189,1.73405,1.34352,0.01351,2.68451e-05,2.68451e-05,2.68451e-05
69,74.3916,0.91287,0.97412,0.01263,0.59266,0.66478,0.76122,0.55293,1.74826,1.38553,0.01379,2.64447e-05,2.64447e-05,2.64447e-05
70,75.2749,1.28776,1.96927,0.02036,0.59266,0.66478,0.76122,0.55293,1.74826,1.38553,0.01379,2.60207e-05,2.60207e-05,2.60207e-05
71,76.1614,0.80979,0.94088,0.00769,0.59266,0.66478,0.76122,0.55293,1.74826,1.38553,0.01379,2.55731e-05,2.55731e-05,2.55731e-05
72,77.1507,0.98827,0.85895,0.00892,0.6191,0.68333,0.78818,0.56929,1.72844,1.35878,0.01362,2.5102e-05,2.5102e-05,2.5102e-05
73,78.1272,0.77788,1.18389,0.01017,0.6191,0.68333,0.78818,0.56929,1.72844,1.35878,0.01362,2.46073e-05,2.46073e-05,2.46073e-05
74,79.0145,0.92989,1.1811,0.01077,0.6191,0.68333,0.78818,0.56929,1.72844,1.35878,0.01362,2.40891e-05,2.40891e-05,2.40891e-05
75,80.1225,1.12242,1.59216,0.01934,0.9001,0.47817,0.78736,0.56912,1.7643,1.32859,0.01429,2.35472e-05,2.35472e-05,2.35472e-05
76,81.1213,0.95431,0.87578,0.01128,0.9001,0.47817,0.78736,0.56912,1.7643,1.32859,0.01429,2.29819e-05,2.29819e-05,2.29819e-05
77,82.0217,1.02056,0.99814,0.01082,0.9001,0.47817,0.78736,0.56912,1.7643,1.32859,0.01429,2.23929e-05,2.23929e-05,2.23929e-05
78,83.0675,1.15725,1.50811,0.01469,0.92793,0.47319,0.75975,0.53861,1.80713,1.38851,0.01499,2.17805e-05,2.17805e-05,2.17805e-05
79,83.9835,0.69545,0.76558,0.00752,0.92793,0.47319,0.75975,0.53861,1.80713,1.38851,0.01499,2.11444e-05,2.11444e-05,2.11444e-05
80,84.9005,0.92761,0.82451,0.01123,0.92793,0.47319,0.75975,0.53861,1.80713,1.38851,0.01499,2.04848e-05,2.04848e-05,2.04848e-05
81,85.9302,0.86999,0.90745,0.01483,0.67118,0.48483,0.7324,0.52238,1.69038,1.50918,0.01412,1.98016e-05,1.98016e-05,1.98016e-05
82,86.9011,0.79493,0.55301,0.0127,0.67118,0.48483,0.7324,0.52238,1.69038,1.50918,0.01412,1.90949e-05,1.90949e-05,1.90949e-05
