epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.443,1.34944,4.64441,0.00743,0.60029,0.50663,0.54517,0.38503,1.09292,3.98997,0.00897,0.000221254,0.000221254,0.000221254
2,282.45,1.32794,2.85475,0.00739,0.57408,0.73214,0.7067,0.49709,1.12268,2.86894,0.00977,0.000434804,0.000434804,0.000434804
3,436.94,1.32369,2.12279,0.00735,0.71852,0.73548,0.80365,0.55012,1.13227,1.94542,0.00952,0.00063955,0.00063955,0.00063955
4,588.966,1.30383,1.60204,0.00716,0.78456,0.76743,0.8543,0.58955,1.16439,1.41867,0.0104,0.00062738,0.00062738,0.00062738
5,734.033,1.26398,1.28612,0.007,0.85234,0.74245,0.86597,0.63345,1.00077,1.09338,0.00819,0.000614174,0.000614174,0.000614174
6,891.588,1.225,1.09623,0.00654,0.76262,0.84965,0.88622,0.66067,1.01071,0.92004,0.00829,0.000600967,0.000600967,0.000600967
7,1046.6,1.20065,0.98365,0.00646,0.83642,0.8531,0.9007,0.67189,0.99647,0.81821,0.00801,0.00058776,0.00058776,0.00058776
8,1199.26,1.16807,0.90285,0.00638,0.83969,0.86305,0.90442,0.66959,1.01477,0.79308,0.00812,0.000574554,0.000574554,0.000574554
9,1358.05,1.1647,0.83936,0.00615,0.84287,0.84372,0.89854,0.66762,1.03066,0.74848,0.00811,0.000561347,0.000561347,0.000561347
10,1514.64,1.15395,0.79487,0.0062,0.87131,0.85052,0.91528,0.69201,0.97058,0.70147,0.00758,0.000548141,0.000548141,0.000548141
11,1667.65,1.11783,0.75029,0.0058,0.83679,0.87845,0.92644,0.71517,0.92169,0.6125,0.00733,0.000534934,0.000534934,0.000534934
12,1826.98,1.08934,0.7185,0.00577,0.89903,0.86008,0.92754,0.71074,0.95114,0.59816,0.00749,0.000521727,0.000521727,0.000521727
13,1983.21,1.10442,0.70941,0.00584,0.92146,0.8511,0.93801,0.71291,0.92819,0.55194,0.00729,0.000508521,0.000508521,0.000508521
14,2138.82,1.08226,0.68202,0.00567,0.90442,0.89765,0.93074,0.71915,0.9365,0.56365,0.00727,0.000495314,0.000495314,0.000495314
15,2300.87,1.0804,0.65967,0.0056,0.93955,0.85686,0.92977,0.72397,0.91562,0.53948,0.00707,0.000482108,0.000482108,0.000482108
16,2458.26,1.05487,0.63598,0.00544,0.90374,0.91698,0.9433,0.72752,0.91042,0.5208,0.00684,0.000468901,0.000468901,0.000468901
17,2622.6,1.05354,0.62515,0.00536,0.91524,0.87861,0.94109,0.71878,0.96606,0.54072,0.00754,0.000455694,0.000455694,0.000455694
18,2793.42,1.02406,0.60324,0.0053,0.92088,0.88394,0.93768,0.70606,0.98366,0.53679,0.0077,0.000442488,0.000442488,0.000442488
19,2964.23,1.02195,0.58341,0.0053,0.88289,0.88508,0.92813,0.72645,0.90326,0.51237,0.00687,0.000429281,0.000429281,0.000429281
20,3137.18,0.9961,0.56967,0.00508,0.9184,0.9142,0.94715,0.72802,0.93945,0.48454,0.00725,0.000416075,0.000416075,0.000416075
21,3308.67,0.99258,0.55823,0.00512,0.88295,0.91285,0.93204,0.73205,0.9056,0.50439,0.00716,0.000402868,0.000402868,0.000402868
22,3490.26,0.98704,0.56378,0.00489,0.87826,0.89661,0.93648,0.73774,0.90017,0.5079,0.00689,0.000389661,0.000389661,0.000389661
23,3639.85,0.98985,0.54411,0.00498,0.88286,0.91661,0.9329,0.72271,0.89788,0.49881,0.00678,0.000376455,0.000376455,0.000376455
24,3786.39,0.97478,0.53937,0.00484,0.95002,0.89766,0.9477,0.74209,0.88157,0.4769,0.00658,0.000363248,0.000363248,0.000363248
25,3938.83,0.97685,0.52776,0.00492,0.92375,0.90377,0.93908,0.7305,0.91494,0.50331,0.00697,0.000350042,0.000350042,0.000350042
26,4083.1,0.94826,0.51572,0.00468,0.90411,0.9102,0.9463,0.74425,0.89447,0.48129,0.00703,0.000336835,0.000336835,0.000336835
27,4232.28,0.94999,0.51498,0.00481,0.92403,0.90541,0.94283,0.7396,0.9129,0.48202,0.00684,0.000323628,0.000323628,0.000323628
28,4382.54,0.93338,0.50196,0.00474,0.94469,0.91657,0.94784,0.74536,0.90189,0.46678,0.00685,0.000310422,0.000310422,0.000310422
29,4533.69,0.92141,0.49078,0.00458,0.94089,0.88374,0.9453,0.74726,0.91164,0.4612,0.00704,0.000297215,0.000297215,0.000297215
30,4682.89,0.91267,0.48326,0.00456,0.91489,0.91721,0.94393,0.75703,0.89884,0.46344,0.00679,0.000284009,0.000284009,0.000284009
31,4828.71,0.92393,0.484,0.00453,0.94213,0.91736,0.95004,0.75517,0.88695,0.45759,0.00656,0.000270802,0.000270802,0.000270802
32,4977.62,0.90256,0.4741,0.00454,0.93982,0.91581,0.95042,0.74798,0.91237,0.46695,0.00697,0.000257595,0.000257595,0.000257595
33,5125.3,0.90845,0.4756,0.00435,0.91128,0.91354,0.94334,0.75831,0.88859,0.46519,0.00663,0.000244389,0.000244389,0.000244389
34,5277.92,0.87785,0.46874,0.00424,0.93413,0.93393,0.95393,0.76439,0.87419,0.45126,0.00647,0.000231182,0.000231182,0.000231182
35,5422.58,0.89032,0.46815,0.00427,0.92789,0.91575,0.95171,0.7651,0.87802,0.47803,0.00663,0.000217976,0.000217976,0.000217976
36,5570.52,0.87348,0.44976,0.00424,0.93745,0.92462,0.9559,0.76638,0.87279,0.44643,0.00638,0.000204769,0.000204769,0.000204769
37,5716.8,0.87113,0.45044,0.00417,0.93348,0.91987,0.95258,0.76848,0.85006,0.45069,0.00634,0.000191562,0.000191562,0.000191562
38,5863.71,0.86281,0.44811,0.00413,0.90489,0.91767,0.94446,0.76283,0.84049,0.46789,0.00615,0.000178356,0.000178356,0.000178356
39,6011.01,0.85624,0.44151,0.00417,0.91753,0.90613,0.94615,0.76128,0.84921,0.45915,0.00633,0.000165149,0.000165149,0.000165149
40,6160.44,0.85293,0.44092,0.00403,0.94221,0.92488,0.95196,0.7672,0.84384,0.43714,0.00633,0.000151943,0.000151943,0.000151943
41,6359.62,0.7853,0.34589,0.00415,0.94228,0.91003,0.95113,0.76006,0.87006,0.45904,0.00637,0.000138736,0.000138736,0.000138736
42,6528.24,0.75538,0.32329,0.00393,0.91616,0.9279,0.94493,0.76389,0.86541,0.4633,0.00634,0.000125529,0.000125529,0.000125529
43,6685.33,0.74278,0.31924,0.00384,0.92662,0.90869,0.95318,0.76411,0.86249,0.45669,0.00632,0.000112323,0.000112323,0.000112323
44,6838.15,0.73585,0.31011,0.00376,0.93069,0.91656,0.95223,0.76825,0.85424,0.44059,0.00636,9.91162e-05,9.91162e-05,9.91162e-05
45,6982.97,0.72492,0.30684,0.00372,0.94224,0.91411,0.95004,0.77476,0.83291,0.44451,0.00615,8.59096e-05,8.59096e-05,8.59096e-05
46,7129.35,0.71376,0.30495,0.00362,0.93382,0.92352,0.94659,0.76946,0.84154,0.44323,0.0062,7.2703e-05,7.2703e-05,7.2703e-05
47,7275.42,0.71043,0.30023,0.00358,0.94161,0.91198,0.95109,0.76877,0.84502,0.44576,0.00628,5.94964e-05,5.94964e-05,5.94964e-05
48,7426.36,0.70019,0.301,0.00352,0.93772,0.92076,0.9522,0.77586,0.82943,0.43755,0.00604,4.62898e-05,4.62898e-05,4.62898e-05
49,7570.99,0.71323,0.29948,0.00356,0.93568,0.91617,0.95188,0.77743,0.83468,0.4412,0.00611,3.30832e-05,3.30832e-05,3.30832e-05
50,7718.64,0.69617,0.29509,0.00352,0.94548,0.91643,0.95249,0.7761,0.82819,0.44108,0.00605,1.98766e-05,1.98766e-05,1.98766e-05
